Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751897;00h;Heat;Response,Uplink,TPL=S,M-Bus;176;00h;5;16.05.2025 09:01 invalid 0 summer time 0;14607000;1047,83;0b;31.12.2024;11287000;14607000;14355000;13517000;12535000;11287000;10191000;9305000;8951000;8810000;8798000;8776000;8687000;8613000;8136000;7455000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751901;00h;Heat;Response,Uplink,TPL=S,M-Bus;160;00h;5;16.05.2025 09:02 invalid 0 summer time 0;6382000;729,071;0b;31.12.2024;5010000;6369000;6224000;5881000;5524000;5010000;4515000;4048000;3680000;3668000;3659000;3646000;3625000;3594000;3389000;3106000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751951;00h;Heat;Response,Uplink,TPL=S,M-Bus;59;00h;5;16.05.2025 09:00 invalid 0 summer time 0;13139000;983,632;0b;31.12.2024;9975000;13013000;12655000;11999000;11106000;9975000;9077000;8229000;7575000;7546000;7537000;7519000;7467000;7378000;7136000;6547000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751910;00h;Heat;Response,Uplink,TPL=S,M-Bus;188;00h;5;16.05.2025 09:00 invalid 0 summer time 0;6485000;772,24;0b;31.12.2024;5006000;6461000;6361000;6053000;5575000;5006000;4449000;4097000;4032000;4004000;3986000;3962000;3933000;3893000;3812000;3589000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751918;00h;Heat;Response,Uplink,TPL=S,M-Bus;179;00h;5;16.05.2025 09:00 invalid 0 summer time 0;13724000;5276,971;0b;31.12.2024;11795000;13617000;13399000;13370000;12671000;11795000;10763000;9991000;9455000;9306000;9266000;9205000;8991000;8876000;8274000;7232000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751915;00h;Heat;Response,Uplink,TPL=S,M-Bus;164;00h;5;16.05.2025 09:00 invalid 0 summer time 0;8939000;747,1;0b;31.12.2024;8888000;8935000;8926000;8915000;8902000;8888000;8610000;8261000;8021000;7978000;7964000;7934000;7910000;7819000;7530000;7178000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100960;02h;WWater;Response,Uplink,TPL=S,M-Bus;79;00h;5;16.05.2025 09:00 invalid 0 summer time 0;148,202;0b;31.12.2024;121,888;0,61;145,541;139,618;133,521;129,308;121,888;114,753;108,296;102,321;96,802;90,876;84,744;80,129;73,853;67,897;62,543;8;4353
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751904;00h;Heat;Response,Uplink,TPL=S,M-Bus;239;00h;5;16.05.2025 09:02 invalid 0 summer time 0;8732000;812,183;0b;31.12.2024;7563000;8725000;8710000;8690000;8180000;7563000;7083000;6666000;6290000;6060000;5967000;5802000;5540000;5304000;4968000;4675000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100964;02h;WWater;Response,Uplink,TPL=S,M-Bus;0;00h;5;16.05.2025 09:03 invalid 0 summer time 0;146,481;0b;31.12.2024;125,448;0,213;144,266;139,246;134,716;130,013;125,448;120,825;115,669;109,915;104,981;99,941;93,933;91,162;85,359;80,968;74,947;8;4353
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100950;02h;WWater;Response,Uplink,TPL=S,M-Bus;241;00h;5;16.05.2025 09:02 invalid 0 summer time 0;237,139;0b;31.12.2024;193,678;0,61;232,542;221,802;211,155;202,856;193,678;184,518;175,652;166,683;158,047;148,843;139,501;132,332;123,833;114,711;104,777;8;4353
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100967;02h;WWater;Response,Uplink,TPL=S,M-Bus;95;00h;5;16.05.2025 09:12 invalid 0 summer time 0;178,364;0b;31.12.2024;151,114;0,128;176,008;170,097;163,851;158,042;151,114;143,114;137,189;131,554;128,186;122,386;117,039;111,5;105,525;100,492;94,667;8;4353
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100958;02h;WWater;Response,Uplink,TPL=S,M-Bus;62;00h;5;16.05.2025 09:01 invalid 0 summer time 0;72,368;0b;31.12.2024;72,197;0,674;72,367;72,366;72,199;72,198;72,197;72,197;72,196;72,195;72,187;72,186;72,185;72,185;70,072;63,937;56,933;8;4353
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100968;02h;WWater;Response,Uplink,TPL=S,M-Bus;63;00h;5;16.05.2025 09:01 invalid 0 summer time 0;151,541;0b;31.12.2024;151,525;0,032;151,54;151,54;151,539;151,525;151,525;149,22;144,474;138,987;134,832;130,042;125,473;124,138;119,472;115,436;111,825;8;4353
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,Wh,E;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,Wh,E;IV,3,0,0,Wh,E;IV,5,0,0,Wh,E;IV,7,0,0,Wh,E;IV,9,0,0,Wh,E;IV,11,0,0,Wh,E;IV,13,0,0,Wh,E;IV,15,0,0,Wh,E;IV,17,0,0,Wh,E;IV,19,0,0,Wh,E;IV,21,0,0,Wh,E;IV,23,0,0,Wh,E;IV,25,0,0,Wh,E;IV,27,0,0,Wh,E;IV,29,0,0,Wh,E;IV,31,0,0,Wh,E;IV,0,0,0,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;EFE;23751905;00h;Heat;Response,Uplink,TPL=S,M-Bus;21;00h;5;16.05.2025 09:00 invalid 0 summer time 0;8921000;770,14;0b;31.12.2024;6546000;8910000;8805000;8572000;7675000;6546000;5425000;4730000;4647000;4604000;4598000;4585000;4574000;4560000;4361000;3782000;261;4385
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100965;02h;WWater;Response,Uplink,TPL=S,M-Bus;184;00h;5;16.05.2025 08:59 invalid 0 summer time 0;108,779;0b;31.12.2024;96,195;0,024;105,837;101,568;101,568;99,703;96,195;89,23;81,376;72,966;65,081;57,501;49,434;40,123;34,046;27,949;21,331;8;4353
Frame Type;Manufacturer;ID;Version;Device Type;TPL-Config;Access Number;Status;Encryption;IV,0,0,0,,Date/Time;IV,0,0,0,m^3,Vol;IV,0,0,0,,ErrorFlags(binary)(deviceType specific);IV,1,0,0,,Date;IV,1,0,0,m^3,Vol;IV,1,0,0,m^3,Vol Accumulation abs value only if negative contributions (backward flow);IV,2,0,0,m^3,Vol;IV,3,0,0,m^3,Vol;IV,4,0,0,m^3,Vol;IV,5,0,0,m^3,Vol;IV,6,0,0,m^3,Vol;IV,7,0,0,m^3,Vol;IV,8,0,0,m^3,Vol;IV,9,0,0,m^3,Vol;IV,10,0,0,m^3,Vol;IV,11,0,0,m^3,Vol;IV,12,0,0,m^3,Vol;IV,13,0,0,m^3,Vol;IV,14,0,0,m^3,Vol;IV,15,0,0,m^3,Vol;IV,16,0,0,m^3,Vol;IV,0,0,0,,Model/Version;IV,0,0,0,,Parameter set ident
SND_NR;DWZ;22100966;02h;WWater;Response,Uplink,TPL=S,M-Bus;204;00h;5;16.05.2025 09:00 invalid 0 summer time 0;281,279;0b;31.12.2024;250,804;0,015;281,279;276,462;268,787;259,764;250,804;240,808;231,835;223,806;215,778;207,084;194,952;183,211;168,942;154,979;141,47;8;4353
