Number Route:;Description Route:;Comment Route BO:;Comment Route E:;Number Estate:;Description Estate:;Timeout Estate Minutes:;Mode Estate:;Comment Estate BO:;Comment Estate E:;Number Meter:;Number Customer:;Unitnumber:;Unitdescription:;Comment Meter BO:;Comment Meter E:;Mediumcode:;AESKey:;StatusByte:;RSSI Value:;Current Value/Billing Date Value(0):;;Current Value/Billing Date Value(1):;;Current Value/Billing Date Value(2):;;Current Value/Billing Date Value(3):;;
100;Unbekannte Route;;;100;Unbekannte Nutzeinheit;0;??;;;23751897;;;;;;0x04;0x;0x01;;11,287;MWh;;;;;;;Stichtag: 31.12.2024;Parsed0:;16.05.2025;09:01  Winterzeit gültiges Datum (TypF/I/J);14,607;MWh Energie;1047,830;  m³ Volumen;0;  Hinweisflags (binär gerätespezifisch);31.12.2024;(TypG);11,287;MWh Energie;30.04.2025;14,607;MWh Energie;31.03.2025;14,355;MWh Energie;28.02.2025;13,517;MWh Energie;31.01.2025;12,535;MWh Energie;31.12.2024;11,287;MWh Energie;30.11.2024;10,191;MWh Energie;31.10.2024;9,305;MWh Energie;30.09.2024;8,951;MWh Energie;31.08.2024;8,810;MWh Energie;31.07.2024;8,798;MWh Energie;30.06.2024;8,776;MWh Energie;31.05.2024;8,687;MWh Energie;30.04.2024;8,613;MWh Energie;31.03.2024;8,136;MWh Energie;29.02.2024;7,455;MWh Energie;261;Version;4385;Parameter setze Identifikation;ultrasonic;DFS Type;0;Inst. Ping;Parsed1:;;Parsed2:;;Parsed3:;;Parsed4:;;RAW0;A944C5149718752300047AB0009025A252A7F7DBB2465C0262943567FE69DFB88C20A8C0673C2C5778F4AB72925C4A07AD363A9CF72CF1879FD5FF161C46A7E7B40D6C252E5E2FA98DA4D137532032EABED74BE8708CDF111C0A677E30D62069507D9EB99986CF11D534711EE748A36972A87448F688E9FD657525852288F1683B72F1818F5813ECE2ABA1A0F54A58A8DE336FE5E26BB7FA68647763D3E33103FD0C05010002FD0B2111;RAW1;;RAW2;;RAW3;;RAW4;;RAW0DATE;16-05-2025;RAW1DATE;01-01-1000;RAW2DATE;01-01-1000;RAW3DATE;01-01-1000;RAW4DATE;01-01-1000
100;Unbekannte Route;;;100;Unbekannte Nutzeinheit;0;??;;;23751901;;;;;;0x04;0x;0x01;;5,010;MWh;;;;;;;Stichtag: 31.12.2024;Parsed0:;16.05.2025;09:02  Winterzeit gültiges Datum (TypF/I/J);6,382;MWh Energie;729,071;  m³ Volumen;0;  Hinweisflags (binär gerätespezifisch);31.12.2024;(TypG);5,010;MWh Energie;30.04.2025;6,369;MWh Energie;31.03.2025;6,224;MWh Energie;28.02.2025;5,881;MWh Energie;31.01.2025;5,524;MWh Energie;31.12.2024;5,010;MWh Energie;30.11.2024;4,515;MWh Energie;31.10.2024;4,048;MWh Energie;30.09.2024;3,680;MWh Energie;31.08.2024;3,668;MWh Energie;31.07.2024;3,659;MWh Energie;30.06.2024;3,646;MWh Energie;31.05.2024;3,625;MWh Energie;30.04.2024;3,594;MWh Energie;31.03.2024;3,389;MWh Energie;29.02.2024;3,106;MWh Energie;261;Version;4385;Parameter setze Identifikation;ultrasonic;DFS Type;0;Inst. Ping;Parsed1:;;Parsed2:;;Parsed3:;;Parsed4:;;RAW0;A944C5140119752300047AA00090254830B18693268FF31454912D11370E4FD128C0529E06EB61685F32C074876E062509E3C33683E2576AFD2E0364F29E86837A54128FC7C35E880DD2095B8EA0189053AEA25DF2FBD855532B0309EAD1DAABDA50FE347F69C032E4E6D45AF66C5C13880F0BE6A1A29C01700DE9B69F25CCE9A2BE5CBB25B33C4D8C5F29BD9DA1C2BCBD5773614A1AB90931B0FA0BA804F403FD0C05010002FD0B2111;RAW1;;RAW2;;RAW3;;RAW4;;RAW0DATE;16-05-2025;RAW1DATE;01-01-1000;RAW2DATE;01-01-1000;RAW3DATE;01-01-1000;RAW4DATE;01-01-1000
100;Unbekannte Route;;;100;Unbekannte Nutzeinheit;0;??;;;23751951;;;;;;0x04;0x;0x01;;9,975;MWh;;;;;;;Stichtag: 31.12.2024;Parsed0:;16.05.2025;09:00  Winterzeit gültiges Datum (TypF/I/J);13,139;MWh Energie;983,632;  m³ Volumen;0;  Hinweisflags (binär gerätespezifisch);31.12.2024;(TypG);9,975;MWh Energie;30.04.2025;13,013;MWh Energie;31.03.2025;12,655;MWh Energie;28.02.2025;11,999;MWh Energie;31.01.2025;11,106;MWh Energie;31.12.2024;9,975;MWh Energie;30.11.2024;9,077;MWh Energie;31.10.2024;8,229;MWh Energie;30.09.2024;7,575;MWh Energie;31.08.2024;7,546;MWh Energie;31.07.2024;7,537;MWh Energie;30.06.2024;7,519;MWh Energie;31.05.2024;7,467;MWh Energie;30.04.2024;7,378;MWh Energie;31.03.2024;7,136;MWh Energie;29.02.2024;6,547;MWh Energie;261;Version;4385;Parameter setze Identifikation;ultrasonic;DFS Type;0;Inst. Ping;Parsed1:;;Parsed2:;;Parsed3:;;Parsed4:;;RAW0;A944C5145119752300047A3B009025A08A511418D8E9E5349E90EA3A75BAA37A83AB84567A19433B7D2652128CD61F750E95BAC85D205061892D0517885E039EE2B1F2621F8BCC9CF0055B484EF97C0AD0B88483266A98DF1235CD2EA62355792C1E8A1C06BA88F0DAB15674FF34C41AE68948177FED68764BB227BCA2871322E8B26A343B7E505C29A3E0E4F0FAC5B7469623F696524E118FA9D503B7AD8203FD0C05010002FD0B2111;RAW1;;RAW2;;RAW3;;RAW4;;RAW0DATE;16-05-2025;RAW1DATE;01-01-1000;RAW2DATE;01-01-1000;RAW3DATE;01-01-1000;RAW4DATE;01-01-1000
100;Unbekannte Route;;;100;Unbekannte Nutzeinheit;0;??;;;23751910;;;;;;0x04;0x;0x01;;5,006;MWh;;;;;;;Stichtag: 31.12.2024;Parsed0:;16.05.2025;09:00  Winterzeit gültiges Datum (TypF/I/J);6,485;MWh Energie;772,240;  m³ Volumen;0;  Hinweisflags (binär gerätespezifisch);31.12.2024;(TypG);5,006;MWh Energie;30.04.2025;6,461;MWh Energie;31.03.2025;6,361;MWh Energie;28.02.2025;6,053;MWh Energie;31.01.2025;5,575;MWh Energie;31.12.2024;5,006;MWh Energie;30.11.2024;4,449;MWh Energie;31.10.2024;4,097;MWh Energie;30.09.2024;4,032;MWh Energie;31.08.2024;4,004;MWh Energie;31.07.2024;3,986;MWh Energie;30.06.2024;3,962;MWh Energie;31.05.2024;3,933;MWh Energie;30.04.2024;3,893;MWh Energie;31.03.2024;3,812;MWh Energie;29.02.2024;3,589;MWh Energie;261;Version;4385;Parameter setze Identifikation;ultrasonic;DFS Type;0;Inst. Ping;Parsed1:;;Parsed2:;;Parsed3:;;Parsed4:;;RAW0;A944C5141019752300047ABC0090253D5126B83678088917F6C141076E94F5CF0672FAE5AEA1675C71DDD32EE843F3C1FC1F7B95F0071C093910A59D8B3D6B73BB8110DDEA8590978A668CA4F4A6298429CA8C4E6804972B070E51FFABA2541DB68A86C540F185CEFBBAE00C9037FA4E5C7C2D8DC2104A815311F9D712A45ECDAE97FF1FCA7485CFDF29200C42707F05D459A964FEA1EA04E3037FBF552C2D03FD0C05010002FD0B2111;RAW1;;RAW2;;RAW3;;RAW4;;RAW0DATE;16-05-2025;RAW1DATE;01-01-1000;RAW2DATE;01-01-1000;RAW3DATE;01-01-1000;RAW4DATE;01-01-1000
100;Unbekannte Route;;;100;Unbekannte Nutzeinheit;0;??;;;23751918;;;;;;0x04;0x;0x01;;11,795;MWh;;;;;;;Stichtag: 31.12.2024;Parsed0:;16.05.2025;09:00  Winterzeit gültiges Datum (TypF/I/J);13,724;MWh Energie;5276,971;  m³ Volumen;0;  Hinweisflags (binär gerätespezifisch);31.12.2024;(TypG);11,795;MWh Energie;30.04.2025;13,617;MWh Energie;31.03.2025;13,399;MWh Energie;28.02.2025;13,370;MWh Energie;31.01.2025;12,671;MWh Energie;31.12.2024;11,795;MWh Energie;30.11.2024;10,763;MWh Energie;31.10.2024;9,991;MWh Energie;30.09.2024;9,455;MWh Energie;31.08.2024;9,306;MWh Energie;31.07.2024;9,266;MWh Energie;30.06.2024;9,205;MWh Energie;31.05.2024;8,991;MWh Energie;30.04.2024;8,876;MWh Energie;31.03.2024;8,274;MWh Energie;29.02.2024;7,232;MWh Energie;261;Version;4385;Parameter setze Identifikation;ultrasonic;DFS Type;0;Inst. Ping;Parsed1:;;Parsed2:;;Parsed3:;;Parsed4:;;RAW0;A944C5141819752300047AB30090255E11D6A5DFF9AAAC76FEF13F50CEC798C14B4C991820AC9089F17735BBC8FEC69450AB01FEC5F6DA229062C29029BF24DBC8718DDDA5978D0DFCF8EFD83E99EFC6B3F5E1691DBD6FEEAEF803035DF06D815339C800D6AB07EF998EC4246DCB7AAF9516429BE0F0CEA9FAD31EF934CBB0E039663C5D8C8A465F47FE8AAC14BBF5D6D9248A3895BA6B13A3910B0DAF733303FD0C05010002FD0B2111;RAW1;;RAW2;;RAW3;;RAW4;;RAW0DATE;16-05-2025;RAW1DATE;01-01-1000;RAW2DATE;01-01-1000;RAW3DATE;01-01-1000;RAW4DATE;01-01-1000
100;Unbekannte Route;;;100;Unbekannte Nutzeinheit;0;??;;;23751915;;;;;;0x04;0x;0x01;;8,888;MWh;;;;;;;Stichtag: 31.12.2024;Parsed0:;16.05.2025;09:00  Winterzeit gültiges Datum (TypF/I/J);8,939;MWh Energie;747,100;  m³ Volumen;0;  Hinweisflags (binär gerätespezifisch);31.12.2024;(TypG);8,888;MWh Energie;30.04.2025;8,935;MWh Energie;31.03.2025;8,926;MWh Energie;28.02.2025;8,915;MWh Energie;31.01.2025;8,902;MWh Energie;31.12.2024;8,888;MWh Energie;30.11.2024;8,610;MWh Energie;31.10.2024;8,261;MWh Energie;30.09.2024;8,021;MWh Energie;31.08.2024;7,978;MWh Energie;31.07.2024;7,964;MWh Energie;30.06.2024;7,934;MWh Energie;31.05.2024;7,910;MWh Energie;30.04.2024;7,819;MWh Energie;31.03.2024;7,530;MWh Energie;29.02.2024;7,178;MWh Energie;261;Version;4385;Parameter setze Identifikation;ultrasonic;DFS Type;0;Inst. Ping;Parsed1:;;Parsed2:;;Parsed3:;;Parsed4:;;RAW0;A944C5141519752300047AA40090253AA41BFCD5EB06AC316F2FBD4CE0999F4B8E2E4A5FF4BDC1C88E30B0C5A3A4BC8C86215287458C789928998000334AB7608D1DBC18BC446B8CDFEB25FA806AFC7B47E1E7D69E57BF55CAD313B7544867555B2EDA5DAC47CDDBEDB03B2B551BA7E3139B36CE0B5C5FD44E36D3E57BFACF375481037F67BA906283770574C173BB8B59BF9D8D82520263D6A053291B0D1D03FD0C05010002FD0B2111;RAW1;;RAW2;;RAW3;;RAW4;;RAW0DATE;16-05-2025;RAW1DATE;01-01-1000;RAW2DATE;01-01-1000;RAW3DATE;01-01-1000;RAW4DATE;01-01-1000
100;Unbekannte Route;;;100;Unbekannte Nutzeinheit;0;??;;;22100960;;;;;;0x06;0x;0x01;;121,888;m³;;;;;;;Stichtag: 31.12.2024;Parsed0:;16.05.2025;09:00 Winterzeit gültiges Datum (TypF/I/J);148,202;m³ Volumen;0;Hinweisflags (binär gerätespezifisch);31.12.2024;Letzter Stichtag (TypG);121,888;m³ Volumen (Letzter Stichtag);0,610;m³ Volumen nur bei negativem beitrag akkumuliert (Rückfluss);30.04.2025;145,541;m³ Volumen;31.03.2025;139,618;m³ Volumen;28.02.2025;133,521;m³ Volumen;31.01.2025;129,308;m³ Volumen;31.12.2024;121,888;m³ Volumen;30.11.2024;114,753;m³ Volumen;31.10.2024;108,296;m³ Volumen;30.09.2024;102,321;m³ Volumen;31.08.2024;96,802;m³ Volumen;31.07.2024;90,876;m³ Volumen;30.06.2024;84,744;m³ Volumen;31.05.2024;80,129;m³ Volumen;30.04.2024;73,853;m³ Volumen;31.03.2024;67,897;m³ Volumen;29.02.2024;62,543;m³ Volumen;8;Model/Version;4353;Parameter setze Identifikation;Parsed1:;;Parsed2:;;Parsed3:;;Parsed4:;;RAW0;A944FA126009102202067A4F009025178AD96AB62BED34D320744B04925408C36F1E9F26E53CC445E6B2E71F03B98CD0F4F09DD719C77C6FB767AD98276E174221514450A252134E8E9919EA94C726469AFB3DB451565679C12C62B95268156A33FE7F718D48F7DF3B1C0C97163D8E22D18E8EFB3AA98BD018A19806C0B2D45AAB7EE973CD3F9587CCB38F0222AFA69F2CD1F191378F9CB7CF9041220E967003FD0C08000002FD0B0111;RAW1;;RAW2;;RAW3;;RAW4;;RAW0DATE;16-05-2025;RAW1DATE;01-01-1000;RAW2DATE;01-01-1000;RAW3DATE;01-01-1000;RAW4DATE;01-01-1000
