Number Route;Description Route;Comment Route BO;Comment Route E;Number Estate;Description Estate;Comment Estate BO;Comment Estate E;Number Entrance;Description Entrance;Comment Entrance BO;Comment Entrance E;Number Building Unit;Description Building Unit;Comment Building Unit BO;Comment Building Unit E;Number Meter;Number Customer;Unit Number;Unit Description;Comment Meter BO;Comment Meter E;Medium Code;Telegram Type;AES Key;Status Byte;RSSI Value;Billing Date;Billing Value;Billing Unit;Actual Date;Actual Time;Actual Energy / HCA;Actual Unit;Actual Volume;Actual Unit Volume;Actual Value 3;Actual Unit 3;Hint Code;Hint Code Description;Billing Date Device;Billing Value Device;Billing Unit Device;Monthly Date 1;Monthly Value 1;Monthly Unit 1;Monthly Date 2;Monthly Value 2;Monthly Unit 2;Monthly Date 3;Monthly Value 3;Monthly Unit 3;Monthly Date 4;Monthly Value 4;Monthly Unit 4;Monthly Date 5;Monthly Value 5;Monthly Unit 5;Monthly Date 6;Monthly Value 6;Monthly Unit 6;Monthly Date 7;Monthly Value 7;Monthly Unit 7;Monthly Date 8;Monthly Value 8;Monthly Unit 8;Monthly Date 9;Monthly Value 9;Monthly Unit 9;Monthly Date 10;Monthly Value 10;Monthly Unit 10;Monthly Date 11;Monthly Value 11;Monthly Unit 11;Monthly Date 12;Monthly Value 12;Monthly Unit 12;Monthly Date 13;Monthly Value 13;Monthly Unit 13;Monthly Date 14;Monthly Value 14;Monthly Unit 14;Monthly Date 15;Monthly Value 15;Monthly Unit 15;Half Monthly Date 1;Half Monthly Value 1;Half Monthly Unit 1;Half Monthly Date 2;Half Monthly Value 2;Half Monthly Unit 2;Half Monthly Date 3;Half Monthly Value 3;Half Monthly Unit 3;Half Monthly Date 4;Half Monthly Value 4;Half Monthly Unit 4;Half Monthly Date 5;Half Monthly Value 5;Half Monthly Unit 5;Half Monthly Date 6;Half Monthly Value 6;Half Monthly Unit 6;Half Monthly Date 7;Half Monthly Value 7;Half Monthly Unit 7;Half Monthly Date 8;Half Monthly Value 8;Half Monthly Unit 8;Half Monthly Date 9;Half Monthly Value 9;Half Monthly Unit 9;Half Monthly Date 10;Half Monthly Value 10;Half Monthly Unit 10;Half Monthly Date 11;Half Monthly Value 11;Half Monthly Unit 11;Half Monthly Date 12;Half Monthly Value 12;Half Monthly Unit 12;Half Monthly Date 13;Half Monthly Value 13;Half Monthly Unit 13;Half Monthly Date 14;Half Monthly Value 14;Half Monthly Unit 14;Half Monthly Date 15;Half Monthly Value 15;Half Monthly Unit 15;Device Type;Radio Type;Version;Telegram Length;DFS Type;Number Telegram;Raw Data;Raw Date
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;53157161;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:00 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,002;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5146171155300047AD900902526AF14EE52A21DC2F79568117803BCC6E31EA04F32FF4B7DCDAE0A24197F2737EC24052D90FB0FE76D01FAB01258B415A0F2715158BFE61A287F5A20C51C7A37C8118E80EE32DE7F3185AFE3D05C6C118B5728AEA76F4C41D7DC8EB6D961B7E2E159AF4521AE1038B2D5751F576D846486A2F317DC590500E74E887FC6354DE1AD8B287A060A92D65E90E274EC86083F03FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;53157160;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;08:59 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,001;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5146071155300047A9000902511F632688AFE60DB8362A1E4776543BABF05660CB75E38A92239809A8E0A3BD0A2AD8A5ABF3078DD7FAD914BF4E5C162CB47FF51FDE4FE547134BABAA13A689FE5CBA4345CC864A71765C5B334030FC9C87DEE52ACB5641DE324C9B2EA6FF20F36866EF4CB8276B5B05B021419B59A13422A49C1784BDEEB69D4341FF6D8C2D07E8089D132920A8327A57D0F17D15C8E03FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;53157162;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;08:59 Winterzeit gültiges Datum (Typ F/I/J);0,001;MWh;0,294;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5146271155300047A930090254621C3A4C8C49E816061B91171800DF29C9D1342FA16EA579F3D7B943340F67A616436AE012B229AB141B7AD8946B7DBF0DDE190C75C342401DAD057FE87FA5CD48A88174AF30CE97E04315C4F8BA8E5F8B1159A5F44A49D324C22DD853611FE607864F0DE6178F30774BBAD7DD63D1C1ACFEC2A86B17F3566C560F6B0861C5F7579340CBFAE4CD70B7A09463403063703FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;52353975;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:00 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,001;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5147539355200047A06009025283C56B273CB66AE785F3C819C9FBD8DB1DB14EB23429AAD49D7BFACAC338539705A4DC2113A0BF1DE63E2598D2398F76B5C5C5D221098AE196530AA9D6701B7E2F05F58B1A7D5D3A65C1BE353A9E0FE768E7B17C1370D57BEAF94B9AAA335DE1B007BC736BDCF792FF6F9C90373E8F5E488CE55809F9F1A720ACDF5D94BA2A0470F5C7F3E051281AC169D5289BC3A7903FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;00198096;;;;;;0x32;LAS;0x;0x01;;31.12.2024;;;27.08.2025;08:01 Winterzeit gültiges Datum (Typ );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unidirektionaler Repeater;0;11;NotDefined;undef;0;6A443330968019000B327A150001C02F2F04FD3A37F506008240FD3AA40302FD0F0902818040FD3A0184C040FD3A9E05000042FD3A19008201FD3A8705C101FD3A7F8202FD3AE001066D0101683B380002FD468B0C0C784476190001FD71AD8C4078968019008140FD71A9;27-08-2025;Seriennummer des Senders;197644;Dimensionless;455991;Dimensionless;932;SoftwareVersionNr;521;Dimensionless;1;Dimensionless;1438;Dimensionless;25;Dimensionless;1415;Dimensionless;127;Dimensionless;480;Volts;3,211;Fabrikationsnr.;197644;Reserved_FD_71;173
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;00197644;;;;;;0x32;LAS;0x;0x01;;31.12.2024;;;27.08.2025;08:01 Winterzeit gültiges Datum (Typ );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unidirektionaler Repeater;0;11;NotDefined;undef;0;6A443330447619000B327AB90001C02F2F04FD3AE43407008240FD3AA40302FD0F0902818040FD3A0184C040FD3A9E05000042FD3A19008201FD3A8705C101FD3A7F8202FD3AE001066D0201683B380002FD46980C0C789680190001FD71A98C4078447619008140FD71A9;27-08-2025;Seriennummer des Senders;198096;Dimensionless;472292;Dimensionless;932;SoftwareVersionNr;521;Dimensionless;1;Dimensionless;1438;Dimensionless;25;Dimensionless;1415;Dimensionless;127;Dimensionless;480;Volts;3,224;Fabrikationsnr.;198096;Reserved_FD_71;169
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;00151752;;;;;;0x31;MWU;0x;0x01;;31.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kommunikationscontroller;0;2;Short;undef;0;2547F5365217150002317A000008000F801300010900DA8B3F0014012A090902040000000000;;80 13 00 01 09 00 da 8b 3f 00 14 01 2a 09 09 02 04 00 00 00 00 00;Undefined
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;52353973;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:00 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,024;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5147339355200047A58009025F8C64A78297A5B997E47C999A61F64E0395B48B1A3EC110E10B4E721199886AC230A817BFD50B9DB358B3AD06E7BBF2F8721C270DC61F50506EF9089E75917CD16A15AEE44636ADAEE6B5469CAE0803C7A31138B5BCF58705987E465D5EF76FE80645EF8A1F26B69C60250E6997124CA7DB7F9F0AA8320666D5F51DC3420D86C39BDD6A40A91EE152FAFC054B4A8314C03FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;52353978;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:00 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,000;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5147839355200047A56009025C5417C5C382825E6BE8F3645248BCD7BD2EDBA6D53EFAE16117D03B9CC48025CB0AEBC16ABC94B2922E7D6D611699332B8E51332F8456B6ED58CF23003EF5291739F357486645B22B20CAA76B22FC166BEEEBE6AFA5E6D3AF6750D98AABEAFB240C99E8DD89499E81DCCB3A6A6C0F453ACE0A2193FEECE5B62D4D2B7315380F9A26D0691EE5D51C6EB3658EF7DADC4B503FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;53157163;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:01 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,002;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5146371155300047A0A00902587F84C73F0A958A1C6894D302237343406B0D5E7A7142B45D97B90E5B8A598A131A4B4AD1517F9CE71D78B223E8474415100B4139B4B74C549788DBFEDB5D4D29E6E6C96DE7F43D040CA9304162FABF7651064537516602BC947AFC9C580784D1342C2808FE4CF35982AE26466E9D1B7AC0F479F2EC631D0190D8437C617FE5E90DA0C6E484E74893B5845D75962233F03FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;53157164;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:00 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,000;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5146471155300047A62009025DFDF5D70C1826C0DCA8A4A7C146C7D09D1DB828052751C0C1B6C42340BD98A64941258196660DB444605A288BE6076E4D3D136F502BC0ED6ADCC0BB12F27429DB0E2BAC383E7F01479132F07B3B8D3C57957DB6B5EBC194BC24F82B28230DB525A3461F4CAEF7A6EE1BC3D57F0200E5B99C86ADED3A2E1F692F4C98D9ADFEA52BE78C3BB8D507E690B51BCA3101F31E703FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;52353977;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:00 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,000;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5147739355200047AC500902547390AA867E57265B3E64089244908C181347517F68239A3F7FC58FED6AEC777E604D5BD12DA8CED168F404A6C1EB7F90FA88178B3B5BC7EE0C7B8C080893171CCD66D5CFD552B6A1DD2550C3F2B729FAF25EBDDF03319983AB945082DB13F82C28DEBBAC649CEE3314C3F2CEF41BC00E76E75CF337556AEBFBEFF9159CB8E915958E6519E445B7E8E47EE8B6AA75FEC03FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;52353974;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:00 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,024;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5147439355200047AC6009025A72B0DF1A5C9D47676DE6D68B1724C16E71798B6F4184790FA2BAA628BA20AE13EAA730A2B487AE530A53DABD0C6A50CCFFC67A811A75D35DE300B614EA8A3482DA8DAED564E04D316348E4103CE685C7FAFD217CF6F081F531217524C4A93EC1582B7A460E50AA38120867EF277A974301A736A3A05FCB80A5FA7FD004FE64CAFD4A331F98641F6A4ADBF4D968BFC9503FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;52353972;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:01 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,000;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5147239355200047ADA0090250BF388F5E9A03D9193C92EEDE3380B1F59F3323F21795EE9EDADF7E80EA6E260F7989E4E23A65B6420CC2BEE95A32F54CD86B73B4E6F95488B2993374BE27AB28A75579F3556F08C288A947B20C99352804F33752B14F27EAE07964444A8314B044843CD0029B0037F1A21D2CDF47CBF02BE644ADA0203C8FD63D28A59DBA14ADDF2CB0D8A8139AEED51A5C57D2CC15503FD0C05010002FD0B0111;27-08-2025
100;Unbekannte Route;;;100;unknown estate;;;100;unknown EINGANG;;;100;Unbekannte Nutzeinheit;;;52353976;;;;;;0x04;EFE;0x;0x01;;31.12.2024;0,000;MWh;27.08.2025;09:01 Winterzeit gültiges Datum (Typ F/I/J);0,000;MWh;0,000;m³;;;0;;;;MWh Energie;31.07.2025;0,000;MWh Energie;30.06.2025;0,000;MWh Energie;31.05.2025;0,000;MWh Energie;30.04.2025;0,000;MWh Energie;31.03.2025;0,000;MWh Energie;28.02.2025;0,000;MWh Energie;31.01.2025;0,000;MWh Energie;31.12.2024;0,000;MWh Energie;30.11.2024;0,000;MWh Energie;31.10.2024;0,000;MWh Energie;30.09.2024;0,000;MWh Energie;31.08.2024;0,000;MWh Energie;31.07.2024;0,000;MWh Energie;30.06.2024;0,000;MWh Energie;31.05.2024;0,000;MWh Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WMZ Rücklauf;1;0;Long;mechanical;1;A944C5147639355200047AB0009025D26FC7209E9502225F8C36CAD36A6CCD6E546EE14E22105532172C1F143C8BC7519BE1F9B0D678D64D029311593DD0D9EDE5C8EC6DFDF6F35EA891047E19765F2E255F028133055C2C22D1E0DDB419BC6FB689C0CC39AF14784E0F27F91F1B01BF3B88449D2B2D9DE1B6D46A64A5E4159BD0F5C9BA44055209DFEBFE0F154BE35D35AE99E498B9915A85EBDBEA2B98E203FD0C05010002FD0B0111;27-08-2025
